	Name	Pairwise Identity	Accession	Bit-Score	Description	E Value	BlastHitOrganism	Query	BlastHitTaxonomy	GH	Metagenome	gene_id	fasta	RPKM	scaffold	KaijuTaxonomy	Domain	Phylum	Class	Order	Family	Genus	Species	Order_mg_gh_abund	Order_mg_abund	Order_mg_cnt	custom_label	is_selected	is_selected_upd	custom_label_upd	custom_label_upd_cnt
0	KAI0601792	79.9	KAI0601792	343.969	hypothetical protein F4775DRAFT_539242 [Biscogniauxia sp. FL1348]	2.3900000000000002e-117	Biscogniauxia sp.	scaffolds_potato_NODE_468_length_22586_cov_9.152472_4	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Xylariomycetidae; Xylariales; Xylariaceae; Biscogniauxia	AA13	Potato	scaffolds_potato_NODE_468_length_22586_cov_9.152472_4	scaffolds_potato	2.8714	NODE_468_length_22586_cov_9.152472	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Hypocreomycetidae; Hypocreales; Hypocreales incertae sedis; Emericellopsis; Emericellopsis cladophorae; 	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales incertae sedis	Emericellopsis	Emericellopsis cladophorae	100.0	1.5267175572519085	2	AA13: Hypocreales	0	0	AA13: Others	2
1	KAI9170698	72.0	KAI9170698	415.231	Glucoamylase [Paramyrothecium foliicola]	5.46e-142	Paramyrothecium foliicola	scaffolds_potato_NODE_273_length_29806_cov_9.558815_5	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Hypocreales; Stachybotryaceae; Paramyrothecium	AA13	Potato	scaffolds_potato_NODE_273_length_29806_cov_9.558815_5	scaffolds_potato	2.9394	NODE_273_length_29806_cov_9.558815	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Hypocreomycetidae; Hypocreales; Hypocreaceae; Trichoderma; 	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	unclassified Trichoderma	100.0	1.5267175572519085	2	AA13: Hypocreales	0	0	AA13: Others	2
2	AOE46668	64.2	AOE46668	962.214	cyclodextrin glycosyltransferase precursor [Bacillus sp. (in: firmicutes)]	0.0	Bacillus sp.	scaffolds_potato_NODE_12812_length_2778_cov_2.325435_2	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus	GH13	Potato	scaffolds_potato_NODE_12812_length_2778_cov_2.325435_2	scaffolds_potato	1.298	NODE_12812_length_2778_cov_2.325435	cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Bacillaceae; 	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	unclassified Bacillaceae	unclassified Bacillaceae	0.9900990099009901	0.7633587786259542	1	GH13: Bacillales	0	1	GH13: Bacillales	1
3	MBK6620175	73.7	MBK6620175	717.227	alpha-glucosidase C-terminal domain-containing protein [Saprospirales bacterium]	0.0	Saprospirales bacterium	scaffolds_potato_NODE_112_length_42395_cov_102.288577_17	Bacteria; Bacteroidota; Saprospiria; Saprospirales	GH13	Potato	scaffolds_potato_NODE_112_length_42395_cov_102.288577_17	scaffolds_potato	35.2923	NODE_112_length_42395_cov_102.288577	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Hymenobacteraceae; Pontibacter; 	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Hymenobacteraceae	Pontibacter	unclassified Hymenobacteraceae	23.762376237623762	18.3206106870229	24	GH13: Cytophagales	1	1	GH13: Cytophagales	24
4	MDP5172433	68.6	MDP5172433	523.472	starch-binding protein [Bacteroidia bacterium]	2.8800000000000003e-179	Bacteroidia bacterium	scaffolds_potato_NODE_87_length_47899_cov_98.561353_24	Bacteria; Bacteroidota; Bacteroidia	GH13	Potato	scaffolds_potato_NODE_87_length_47899_cov_98.561353_24	scaffolds_potato	34.5386	NODE_87_length_47899_cov_98.561353	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Cyclobacteriaceae; 	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Cyclobacteriaceae	unclassified Cyclobacteriaceae	unclassified Cyclobacteriaceae	23.762376237623762	18.3206106870229	24	GH13: Cytophagales	1	1	GH13: Cytophagales	24
5	WP_205503920	65.8	WP_205503920	703.36	alpha-amylase family glycosyl hydrolase [Rufibacter sp. SYSU D00308]	0.0	Rufibacter sp.	scaffolds_potato_NODE_1_length_339988_cov_100.180156_91	Bacteria; Bacteroidota; Cytophagia; Cytophagales; Hymenobacteraceae; Rufibacter	GH13	Potato	scaffolds_potato_NODE_1_length_339988_cov_100.180156_91	scaffolds_potato	34.4941	NODE_1_length_339988_cov_100.180156	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Cytophagaceae; Sporocytophaga; Sporocytophaga myxococcoides; 	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Cytophagaceae	Sporocytophaga	Sporocytophaga myxococcoides	23.762376237623762	18.3206106870229	24	GH13: Cytophagales	1	1	GH13: Cytophagales	24
6	WP_165822114	65.3	WP_165822114	1026.54	alpha-amylase family glycosyl hydrolase [Hymenobacter edaphi]	0.0	Hymenobacter edaphi	scaffolds_potato_NODE_720_length_18555_cov_96.702349_12	Bacteria; Bacteroidota; Cytophagia; Cytophagales; Hymenobacteraceae; Hymenobacter	GH13	Potato	scaffolds_potato_NODE_720_length_18555_cov_96.702349_12	scaffolds_potato	33.2179	NODE_720_length_18555_cov_96.702349	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Cyclobacteriaceae; Cyclobacterium; unclassified Cyclobacterium; Cyclobacterium sp. SYSU L10401; 	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Cyclobacteriaceae	Penaeicola	Penaeicola halotolerans	23.762376237623762	18.3206106870229	24	GH13: Cytophagales	1	1	GH13: Cytophagales	24
7	MCB0644046	64.8	MCB0644046	641.343	starch-binding protein [Phaeodactylibacter sp.]	0.0	Phaeodactylibacter sp.	scaffolds_potato_NODE_87_length_47899_cov_98.561353_23	Bacteria; Bacteroidota; Saprospiria; Saprospirales; Haliscomenobacteraceae; Phaeodactylibacter	GH13	Potato	scaffolds_potato_NODE_87_length_47899_cov_98.561353_23	scaffolds_potato	34.5386	NODE_87_length_47899_cov_98.561353	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Cyclobacteriaceae; 	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Cyclobacteriaceae	unclassified Cyclobacteriaceae	unclassified Cyclobacteriaceae	23.762376237623762	18.3206106870229	24	GH13: Cytophagales	1	1	GH13: Cytophagales	24
8	WP_165822114	63.5	WP_165822114	990.719	alpha-amylase family glycosyl hydrolase [Hymenobacter edaphi]	0.0	Hymenobacter edaphi	scaffolds_potato_NODE_206_length_34047_cov_94.274860_5	Bacteria; Bacteroidota; Cytophagia; Cytophagales; Hymenobacteraceae; Hymenobacter	GH13	Potato	scaffolds_potato_NODE_206_length_34047_cov_94.274860_5	scaffolds_potato	32.4501	NODE_206_length_34047_cov_94.274860	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Cyclobacteriaceae; Penaeicola; Penaeicola halotolerans; 	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Cytophagaceae	Anditalea	Anditalea andensis	23.762376237623762	18.3206106870229	24	GH13: Cytophagales	1	1	GH13: Cytophagales	24
9	WMJ72098	62.1	WMJ72098	748.814	alpha-amylase family protein [Cytophagaceae bacterium ABcell3]	0.0	Cytophagaceae bacterium	scaffolds_potato_NODE_191_length_34731_cov_94.328303_11	Bacteria; Bacteroidota; Cytophagia; Cytophagales; Cytophagaceae	GH13	Potato	scaffolds_potato_NODE_191_length_34731_cov_94.328303_11	scaffolds_potato	32.5006	NODE_191_length_34731_cov_94.328303	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Cyclobacteriaceae; 	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Cyclobacteriaceae	unclassified Cyclobacteriaceae	unclassified Cyclobacteriaceae	23.762376237623762	18.3206106870229	24	GH13: Cytophagales	1	1	GH13: Cytophagales	24
10	MCU0447476	62.0	MCU0447476	1132.09	alpha-amylase family glycosyl hydrolase [Microscillaceae bacterium]	0.0	Microscillaceae bacterium	scaffolds_potato_NODE_1_length_339988_cov_100.180156_255	Bacteria; Bacteroidota; Cytophagia; Cytophagales; Microscillaceae	GH13	Potato	scaffolds_potato_NODE_1_length_339988_cov_100.180156_255	scaffolds_potato	34.4941	NODE_1_length_339988_cov_100.180156	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Cytophagaceae; Sporocytophaga; Sporocytophaga myxococcoides; 	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Cytophagaceae	Sporocytophaga	Sporocytophaga myxococcoides	23.762376237623762	18.3206106870229	24	GH13: Cytophagales	1	1	GH13: Cytophagales	24
11	MCI4667434	61.5	MCI4667434	518.464	starch-binding protein [Bacteroidia bacterium]	1.7799999999999999e-174	Bacteroidia bacterium	scaffolds_potato_NODE_5_length_140365_cov_97.397019_48	Bacteria; Bacteroidota; Bacteroidia	GH13	Potato	scaffolds_potato_NODE_5_length_140365_cov_97.397019_48	scaffolds_potato	33.7125	NODE_5_length_140365_cov_97.397019	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Fulvivirgaceae; Fulvivirga; Fulvivirga sedimenti; 	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Fulvivirgaceae	Fulvivirga	Fulvivirga sedimenti	23.762376237623762	18.3206106870229	24	GH13: Cytophagales	1	1	GH13: Cytophagales	24
12	WP_277478510	60.3	WP_277478510	750.74	alpha-amylase family protein [Catalinimonas alkaloidigena]	0.0	Catalinimonas alkaloidigena	scaffolds_potato_NODE_1_length_339988_cov_100.180156_90	Bacteria; Bacteroidota; Cytophagia; Cytophagales; Catalimonadaceae; Catalinimonas	GH13	Potato	scaffolds_potato_NODE_1_length_339988_cov_100.180156_90	scaffolds_potato	34.4941	NODE_1_length_339988_cov_100.180156	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Cytophagaceae; Sporocytophaga; Sporocytophaga myxococcoides; 	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Cytophagaceae	Sporocytophaga	Sporocytophaga myxococcoides	23.762376237623762	18.3206106870229	24	GH13: Cytophagales	1	1	GH13: Cytophagales	24
13	WP_299621145	60.0	WP_299621145	707.212	alpha-amylase family glycosyl hydrolase [uncultured Tenacibaculum sp.]	0.0	uncultured Tenacibaculum	scaffolds_potato_NODE_7_length_134135_cov_95.096339_33	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Tenacibaculum; environmental samples	GH13	Potato	scaffolds_potato_NODE_7_length_134135_cov_95.096339_33	scaffolds_potato	32.9827	NODE_7_length_134135_cov_95.096339	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Reichenbachiellaceae; Reichenbachiella; Reichenbachiella faecimaris; 	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Reichenbachiellaceae	Reichenbachiella	Reichenbachiella faecimaris	23.762376237623762	18.3206106870229	24	GH13: Cytophagales	1	1	GH13: Cytophagales	24
14	MCI4667434	59.3	MCI4667434	504.982	starch-binding protein [Bacteroidia bacterium]	3.89e-169	Bacteroidia bacterium	scaffolds_potato_NODE_5_length_140365_cov_97.397019_49	Bacteria; Bacteroidota; Bacteroidia	GH13	Potato	scaffolds_potato_NODE_5_length_140365_cov_97.397019_49	scaffolds_potato	33.7125	NODE_5_length_140365_cov_97.397019	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Fulvivirgaceae; Fulvivirga; Fulvivirga sedimenti; 	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Fulvivirgaceae	Fulvivirga	Fulvivirga sedimenti	23.762376237623762	18.3206106870229	24	GH13: Cytophagales	1	1	GH13: Cytophagales	24
15	KAF0095344	59.1	KAF0095344	500.36	alpha amylase [Puniceicoccaceae bacterium 5H]	2.24e-171	Puniceicoccaceae bacterium	scaffolds_potato_NODE_12_length_110687_cov_97.988428_12	Bacteria; Verrucomicrobiota; Opitutae; Puniceicoccales; Puniceicoccaceae	GH13	Potato	scaffolds_potato_NODE_12_length_110687_cov_97.988428_12	scaffolds_potato	34.1567	NODE_12_length_110687_cov_97.988428	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Marivirgaceae; Marivirga; unclassified Marivirga; Marivirga sp. S37H4; 	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Marivirgaceae	Marivirga	unclassified Marivirga	23.762376237623762	18.3206106870229	24	GH13: Cytophagales	1	1	GH13: Cytophagales	24
16	TAE19484	59.1	TAE19484	811.601	DUF1939 domain-containing protein [Bacteroidota bacterium]	0.0	Bacteroidota bacterium	scaffolds_potato_NODE_437_length_23538_cov_102.100678_15	Bacteria; Bacteroidota	GH13	Potato	scaffolds_potato_NODE_437_length_23538_cov_102.100678_15	scaffolds_potato	34.7579	NODE_437_length_23538_cov_102.100678	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Hymenobacteraceae; Rufibacter; Rufibacter radiotolerans; 	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Marivirgaceae	Marivirga	unclassified Marivirga	23.762376237623762	18.3206106870229	24	GH13: Cytophagales	1	1	GH13: Cytophagales	24
17	WP_095164354	59.0	WP_095164354	584.334	alpha-amylase family glycosyl hydrolase [Flectobacillus sp. BAB-3569]	0.0	Flectobacillus sp.	scaffolds_potato_NODE_6_length_134858_cov_98.153085_23	Bacteria; Bacteroidota; Cytophagia; Cytophagales; Spirosomaceae; Flectobacillus	GH13	Potato	scaffolds_potato_NODE_6_length_134858_cov_98.153085_23	scaffolds_potato	33.9465	NODE_6_length_134858_cov_98.153085	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Hymenobacteraceae; 	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Hymenobacteraceae	unclassified Hymenobacteraceae	unclassified Hymenobacteraceae	23.762376237623762	18.3206106870229	24	GH13: Cytophagales	1	1	GH13: Cytophagales	24
18	WP_071904646	58.6	WP_071904646	486.108	DUF1921 domain-containing protein [Cystobacter ferrugineus]	1.71e-165	Cystobacter ferrugineus	scaffolds_potato_NODE_12_length_110687_cov_97.988428_3	Bacteria; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Archangiaceae; Cystobacter	GH13	Potato	scaffolds_potato_NODE_12_length_110687_cov_97.988428_3	scaffolds_potato	34.1567	NODE_12_length_110687_cov_97.988428	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Marivirgaceae; Marivirga; unclassified Marivirga; Marivirga sp. S37H4; 	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Reichenbachiellaceae	Reichenbachiella	Reichenbachiella faecimaris	23.762376237623762	18.3206106870229	24	GH13: Cytophagales	1	1	GH13: Cytophagales	24
19	MCU0447992	57.1	MCU0447992	790.03	alpha-amylase family glycosyl hydrolase [Microscillaceae bacterium]	0.0	Microscillaceae bacterium	scaffolds_potato_NODE_29_length_68832_cov_103.525155_17	Bacteria; Bacteroidota; Cytophagia; Cytophagales; Microscillaceae	GH13	Potato	scaffolds_potato_NODE_29_length_68832_cov_103.525155_17	scaffolds_potato	35.5767	NODE_29_length_68832_cov_103.525155	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Fulvivirgaceae; Fulvivirga; Fulvivirga sedimenti; 	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Hymenobacteraceae	unclassified Hymenobacteraceae	unclassified Hymenobacteraceae	23.762376237623762	18.3206106870229	24	GH13: Cytophagales	1	1	GH13: Cytophagales	24
